@RELATION extratreest6Classes
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Conversations,Human-Gathering,Multimedia,Outdoors,Scream,SobbandCry}

@DATA
0.060356,0.023900,3.031961,0.141016,0.176820,0.326822,0.012752,0.074841,-25.280984,2.531677,-0.128945,-0.320845,-0.249447,-0.082978,0.062420,-0.140384,-0.004716,-0.570754,-0.345334,-0.198420,0.067831,0.007821,0.005803,0.050369,0.051103,0.047870,0.016514,0.009754,0.000510,0.002603,0.010151,0.009089,0.002243,0.031845,0.054278,0.018612,0.253930,0.060825,0.026767,0.348691,0.009791,0.095065,1.699794,0.731119,0.555909,0.803680,0.323670,0.460161,0.270061,0.297064,0.382285,0.335322,0.280626,0.342605,0.353526,0.010872,0.009015,0.048554,0.055315,0.054543,0.032427,0.011777,0.000474,0.002978,0.020706,0.010038,0.002685,0.015022,Conversations
0.094045,0.022091,3.045542,0.174713,0.181962,0.579609,0.008263,0.137659,-25.467952,2.247385,0.027805,-0.256842,-0.143732,-0.106372,0.032549,-0.126063,0.094683,-0.404666,-0.296000,-0.149616,-0.083237,0.015962,0.006752,0.039353,0.043482,0.035801,0.009612,0.010496,0.000928,0.002863,0.009263,0.012857,0.006301,0.026270,0.094843,0.018122,0.263905,0.086402,0.028679,0.557535,0.007241,0.139453,1.743596,0.838102,0.785458,0.849912,0.347455,0.452120,0.241952,0.304698,0.326395,0.328711,0.276631,0.291764,0.345440,0.020604,0.010797,0.035487,0.053018,0.051938,0.014054,0.013904,0.001263,0.002780,0.018791,0.017078,0.011928,0.014806,Conversations
0.036502,0.056569,2.982785,0.130243,0.184068,0.180727,0.022311,0.051679,-26.526161,2.108185,0.116991,0.269511,-0.124501,0.114467,-0.049792,-0.426377,-0.147632,-0.203075,-0.267929,-0.233575,-0.157466,0.032323,0.001296,0.077673,0.024298,0.039411,0.015517,0.037534,0.004495,0.004054,0.007120,0.024441,0.004016,0.043300,0.050483,0.040791,0.333900,0.051205,0.037325,0.254928,0.016983,0.082023,3.605911,0.774240,0.810298,0.612130,0.298132,0.325758,0.343557,0.429846,0.402264,0.345992,0.301756,0.341816,0.315314,0.044718,0.001684,0.095649,0.041935,0.053488,0.024711,0.036836,0.007908,0.008102,0.009360,0.036602,0.007612,0.021402,Conversations
0.046983,0.076258,3.043629,0.134680,0.175392,0.287171,0.022622,0.081579,-23.970584,2.264158,0.168094,0.020369,-0.146034,0.067414,-0.081649,-0.476589,-0.173939,-0.235964,-0.301438,-0.286585,-0.228836,0.041181,0.002544,0.057081,0.027353,0.028441,0.014575,0.020189,0.005028,0.004048,0.009955,0.035666,0.005334,0.039695,0.068422,0.044193,0.345143,0.070253,0.033511,0.469173,0.017834,0.128836,2.991316,0.768348,0.863054,0.542628,0.310396,0.343090,0.335957,0.401318,0.417140,0.319608,0.335973,0.353754,0.345918,0.049963,0.004010,0.079064,0.040421,0.035389,0.024095,0.035462,0.011077,0.007913,0.015218,0.032243,0.007744,0.018419,Conversations
0.037761,0.076833,3.039637,0.120040,0.171180,0.250525,0.020101,0.067967,-23.197159,2.270638,0.165727,0.030899,-0.118758,0.092313,-0.135375,-0.392538,-0.103582,-0.147397,-0.288091,-0.403753,-0.360780,0.044548,0.003048,0.064405,0.026870,0.017212,0.007488,0.007609,0.005274,0.004058,0.014001,0.042909,0.005157,0.037948,0.029433,0.040803,0.409014,0.041376,0.030037,0.285116,0.015297,0.071358,2.094082,0.842579,0.828633,0.542697,0.283420,0.426088,0.341804,0.345715,0.372021,0.255392,0.322046,0.262598,0.274024,0.050789,0.004210,0.085426,0.040570,0.032301,0.010235,0.006336,0.008939,0.007455,0.018452,0.051076,0.006356,0.018415,Conversations
0.038475,0.025582,3.145269,0.129857,0.198432,0.151170,0.005368,0.047663,-24.627744,2.276292,-0.692178,0.503040,-0.467865,0.420415,-0.133351,0.311972,-0.144474,-0.104269,-0.118590,-0.020703,0.003020,0.062069,0.007633,0.054894,0.008553,0.027297,0.007456,0.032780,0.001521,0.005279,0.009210,0.020129,0.007314,0.028651,0.009983,0.042931,0.154058,0.013326,0.015120,0.067471,0.003624,0.015973,1.399284,0.324726,0.234072,0.526247,0.330008,0.275596,0.160844,0.167482,0.149982,0.191418,0.242925,0.232999,0.203004,0.038131,0.011934,0.039142,0.005814,0.036726,0.008044,0.030118,0.001088,0.008276,0.010550,0.014282,0.006110,0.007764,Conversations
0.039950,0.025374,3.156612,0.131337,0.199168,0.159536,0.005009,0.049546,-24.658833,2.236233,-0.708893,0.500526,-0.470950,0.441931,-0.142944,0.297580,-0.127359,-0.058401,-0.074965,0.015676,0.015867,0.067558,0.007771,0.046486,0.007346,0.026954,0.008866,0.032403,0.001506,0.005436,0.009960,0.019701,0.007276,0.027977,0.009698,0.027136,0.152307,0.010280,0.010580,0.056062,0.002760,0.013227,0.774903,0.324967,0.212724,0.294539,0.242017,0.258505,0.179142,0.164468,0.156904,0.192659,0.240935,0.220594,0.205425,0.034852,0.011940,0.028188,0.005398,0.028728,0.009726,0.022649,0.001094,0.007604,0.009488,0.013702,0.006275,0.006349,Conversations
0.044215,0.005429,3.203936,0.134449,0.199200,0.195146,0.003541,0.060345,-26.458817,2.047119,-0.776979,0.613486,-0.414761,0.477488,-0.201442,0.321097,-0.114767,-0.023845,-0.046414,0.035348,0.033491,0.068891,0.003977,0.048246,0.007080,0.023647,0.010605,0.041711,0.001660,0.004616,0.009461,0.018115,0.008451,0.026775,0.012494,0.010438,0.069319,0.017038,0.018636,0.126161,0.001749,0.026106,1.507810,0.253954,0.272095,0.446425,0.259605,0.247796,0.198575,0.164056,0.172219,0.209409,0.154048,0.166655,0.172209,0.033537,0.003397,0.030558,0.004945,0.026041,0.012205,0.026382,0.001290,0.003755,0.008124,0.011682,0.006623,0.007449,Conversations
0.054356,0.002898,3.175521,0.145315,0.203732,0.292426,0.003117,0.077495,-26.716027,1.970434,-0.699094,0.709279,-0.317693,0.442839,-0.187154,0.303309,-0.120347,0.029540,-0.071450,0.048963,-0.012967,0.070227,0.004064,0.052190,0.006661,0.015824,0.010888,0.050314,0.002351,0.004937,0.008675,0.017829,0.009206,0.025674,0.025389,0.004673,0.092727,0.023469,0.013658,0.256408,0.001259,0.046780,0.927265,0.286485,0.304797,0.225442,0.176027,0.231505,0.199573,0.198763,0.159484,0.188251,0.132262,0.127596,0.145556,0.025721,0.003378,0.024692,0.003677,0.007149,0.012528,0.027476,0.002190,0.003869,0.006849,0.011174,0.005931,0.005130,Conversations
0.063884,0.007783,3.167195,0.153396,0.199832,0.341796,0.005752,0.080649,-26.018730,2.207850,-0.627436,0.711929,-0.260060,0.233169,-0.262577,0.181187,-0.269080,-0.005695,-0.196044,-0.010535,-0.176027,0.062705,0.002999,0.050736,0.018459,0.021468,0.011205,0.025294,0.002479,0.006689,0.008600,0.015373,0.012238,0.026218,0.049796,0.011122,0.157505,0.044059,0.020085,0.410280,0.004801,0.100250,1.402972,0.375112,0.593756,0.403258,0.297560,0.235712,0.178911,0.272557,0.201516,0.168512,0.236337,0.272980,0.219769,0.039839,0.002888,0.039107,0.026328,0.017869,0.016375,0.018933,0.005224,0.006848,0.010907,0.012625,0.011341,0.010244,Conversations
0.051747,0.008959,3.127302,0.134760,0.193831,0.231402,0.007487,0.068330,-25.811746,2.385976,-0.973952,0.735601,-0.293839,0.310412,-0.073630,0.170063,-0.203067,0.013764,-0.166325,-0.071275,-0.115653,0.068890,0.007174,0.043332,0.011827,0.018097,0.008031,0.027265,0.003312,0.006676,0.008883,0.019967,0.007927,0.026836,0.036441,0.009354,0.169478,0.035525,0.017761,0.322114,0.005226,0.067528,1.074474,0.350823,0.560672,0.307287,0.269701,0.219495,0.221036,0.216603,0.155259,0.224159,0.234843,0.243557,0.212130,0.060019,0.012306,0.028729,0.012725,0.019750,0.006813,0.020328,0.005426,0.008313,0.009714,0.018216,0.006301,0.013054,Conversations
0.072380,0.022730,2.953470,0.155047,0.190305,0.392703,0.008488,0.086502,-25.079796,2.525476,-0.433393,0.031945,0.158264,0.019387,0.028123,0.007649,-0.071376,0.062882,-0.051907,0.001199,-0.050694,0.026070,0.003144,0.047010,0.017410,0.019460,0.005685,0.041416,0.003078,0.006002,0.017795,0.021474,0.010091,0.026326,0.058681,0.023686,0.314178,0.057847,0.025710,0.478401,0.005056,0.111590,1.780255,0.577241,0.848797,0.398293,0.354990,0.324976,0.239238,0.217606,0.167079,0.241780,0.253821,0.287836,0.243178,0.029619,0.003659,0.049599,0.029563,0.022827,0.005018,0.045158,0.003938,0.006834,0.024826,0.024410,0.012174,0.016340,Conversations
0.044907,0.044836,3.026357,0.129571,0.183461,0.279660,0.016598,0.057849,-24.578071,2.649042,-0.090667,-0.329129,-0.053684,-0.280942,-0.143247,-0.074330,-0.073068,-0.037316,0.010308,-0.074260,-0.319886,0.056669,0.002436,0.016731,0.008719,0.016635,0.013903,0.017012,0.001136,0.013216,0.013877,0.042807,0.020611,0.032402,0.045204,0.034636,0.340993,0.047888,0.024972,0.460089,0.008681,0.085909,1.942065,0.525775,0.715207,0.630039,0.499974,0.386933,0.326938,0.317329,0.220443,0.246412,0.353814,0.282101,0.342952,0.062295,0.002833,0.018507,0.014986,0.022981,0.024637,0.021254,0.001529,0.025240,0.021223,0.047988,0.028991,0.013231,Conversations
0.059902,0.015625,3.017982,0.141538,0.183586,0.419699,0.012445,0.091357,-27.078834,2.441891,-0.259951,0.009479,0.150214,-0.154089,-0.110872,-0.151469,-0.179780,0.029095,-0.007327,0.081898,-0.151593,0.042856,0.003275,0.047641,0.013715,0.017330,0.011995,0.028195,0.004903,0.016975,0.006965,0.013767,0.008453,0.028298,0.056596,0.032253,0.327537,0.055572,0.031460,0.457082,0.007958,0.106762,2.315885,0.576121,0.911345,0.533602,0.342246,0.264762,0.328219,0.301133,0.296169,0.261584,0.325576,0.278315,0.372297,0.047891,0.004638,0.043200,0.014562,0.022036,0.019013,0.027073,0.010094,0.030150,0.006710,0.015169,0.010823,0.015954,Conversations
0.047482,0.017229,2.990287,0.127564,0.177346,0.273072,0.013810,0.069510,-26.121414,2.442044,-0.435426,0.116414,0.115162,-0.186277,-0.159986,-0.222129,-0.129663,-0.005788,-0.044982,-0.025764,-0.248899,0.063688,0.002867,0.037608,0.012080,0.011847,0.011373,0.016975,0.004791,0.016397,0.006812,0.020626,0.010884,0.030014,0.046828,0.025833,0.340250,0.047916,0.029257,0.337264,0.008081,0.076718,1.907719,0.741555,0.804442,0.599410,0.382813,0.268959,0.329875,0.295524,0.304083,0.238725,0.323880,0.313036,0.331060,0.067684,0.004041,0.043309,0.014635,0.019052,0.016993,0.018787,0.008607,0.031089,0.005806,0.017787,0.014088,0.016513,Conversations
0.066606,0.013857,3.032742,0.142892,0.180989,0.327188,0.013268,0.083802,-26.052171,2.558906,-0.312888,-0.034676,0.061694,-0.108006,-0.096106,-0.156804,-0.105952,-0.032914,-0.133254,-0.166996,-0.211567,0.060487,0.002469,0.027285,0.021078,0.010948,0.008513,0.014743,0.002616,0.015686,0.007599,0.019805,0.009695,0.027453,0.091338,0.018138,0.289583,0.075514,0.025603,0.480875,0.007770,0.125368,1.824701,0.651475,0.730159,0.660492,0.374616,0.298121,0.298202,0.240025,0.265876,0.252703,0.323373,0.291681,0.306280,0.071605,0.003673,0.024576,0.029232,0.014755,0.009935,0.019055,0.003963,0.027384,0.009586,0.025330,0.014144,0.016579,Conversations
0.056885,0.025655,3.031957,0.132804,0.180876,0.257481,0.011476,0.067695,-25.104424,2.630774,-0.425222,0.097305,0.152953,-0.076980,-0.139215,-0.116441,-0.068115,-0.025597,-0.102042,-0.199190,-0.198901,0.056044,0.002679,0.033175,0.023371,0.010620,0.008378,0.016529,0.002392,0.015751,0.010986,0.023008,0.007296,0.027416,0.062541,0.026806,0.299654,0.057712,0.026310,0.357858,0.007245,0.081502,1.837450,0.736955,0.734577,0.567952,0.444652,0.272123,0.289563,0.227177,0.213977,0.237147,0.300123,0.340337,0.265875,0.063642,0.002982,0.026539,0.028162,0.014702,0.008672,0.020726,0.003287,0.027113,0.011621,0.021236,0.008276,0.015067,Conversations
0.068807,0.023242,3.017907,0.145946,0.182588,0.360385,0.011142,0.085662,-25.187683,2.411804,-0.345152,0.057733,0.097866,-0.040183,-0.099867,-0.036545,-0.056864,-0.020324,-0.100702,-0.147009,-0.169990,0.047683,0.002669,0.033468,0.025952,0.010432,0.007654,0.016736,0.001916,0.008326,0.012243,0.026618,0.006765,0.025258,0.087385,0.024099,0.312878,0.073954,0.025804,0.529198,0.006888,0.119127,1.725402,0.628891,0.758249,0.716041,0.366070,0.280269,0.323110,0.248580,0.220574,0.253303,0.266336,0.281019,0.295524,0.062958,0.003561,0.031619,0.037224,0.012234,0.006305,0.021108,0.003162,0.011761,0.014747,0.027912,0.008935,0.014691,Conversations
0.089054,0.018461,3.039906,0.165479,0.187643,0.509197,0.009610,0.114428,-26.184720,2.534634,-0.238413,0.014406,0.120361,-0.053448,-0.008039,0.030800,-0.121122,0.031112,-0.039785,-0.016279,-0.082115,0.025993,0.002907,0.040148,0.025837,0.014225,0.008253,0.030853,0.001908,0.008350,0.012368,0.022203,0.003985,0.023118,0.103082,0.023234,0.263386,0.081213,0.026212,0.619592,0.007459,0.145545,1.873591,0.541045,0.615994,0.658941,0.339986,0.254984,0.308441,0.219185,0.167626,0.251372,0.269350,0.274945,0.277537,0.049231,0.003173,0.032556,0.034929,0.015419,0.007082,0.034463,0.002599,0.011591,0.016723,0.018035,0.004623,0.013858,Conversations
0.079004,0.042879,3.032466,0.155134,0.179625,0.479329,0.018115,0.106103,-24.832120,2.749165,-0.021021,-0.379073,-0.131841,-0.306951,-0.152026,-0.180764,-0.135997,-0.060808,0.015639,-0.020873,-0.192539,0.042529,0.002236,0.012897,0.011066,0.021985,0.015460,0.024388,0.000979,0.014050,0.013232,0.032047,0.014527,0.031253,0.078742,0.031166,0.352158,0.070047,0.023380,0.594417,0.011910,0.124840,1.534375,0.554771,0.665284,0.593834,0.424119,0.340092,0.361647,0.366484,0.239262,0.281349,0.415294,0.301848,0.425958,0.056482,0.002782,0.018239,0.020730,0.044136,0.023765,0.041236,0.001234,0.026544,0.018218,0.045982,0.026138,0.017322,Conversations
0.103119,0.041568,3.049421,0.172643,0.177814,0.593846,0.019362,0.134460,-25.256192,2.999619,0.045508,-0.409557,-0.080485,-0.228544,-0.032421,-0.119677,-0.189477,-0.156815,-0.108871,-0.075266,-0.184224,0.038910,0.002033,0.019041,0.025135,0.021573,0.019494,0.022640,0.000751,0.002663,0.009362,0.030286,0.014066,0.032557,0.100147,0.036919,0.364880,0.086620,0.021095,0.720429,0.013605,0.158039,1.708836,0.466501,0.539448,0.531394,0.373575,0.318177,0.296709,0.323019,0.211345,0.248274,0.324936,0.309649,0.289464,0.037443,0.002701,0.030508,0.038256,0.037377,0.036810,0.036366,0.000813,0.002866,0.011632,0.028473,0.017172,0.019782,Conversations
